,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_exponent_n_steps,params_gamma,params_lr,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,state
0,0,86.6,2025-09-17 01:57:17.095284,2025-09-17 01:57:43.007473,0 days 00:00:25.912189,relu,3,0.00011147151924573555,0.0002436593455224103,0.5028691153830191,small,0.9998885284807543,8,COMPLETE
1,1,500.0,2025-09-17 01:57:43.008420,2025-09-17 01:58:00.198056,0 days 00:00:17.189636,tanh,7,0.04494942719218736,0.0013200528077930507,1.9349305217024666,small,0.9550505728078127,128,COMPLETE
2,2,232.1,2025-09-17 01:58:00.198976,2025-09-17 01:58:18.581799,0 days 00:00:18.382823,relu,5,0.0005799726851949414,1.7697479082598286e-05,0.8791158610002346,small,0.9994200273148051,32,COMPLETE
3,3,9.1,2025-09-17 01:58:18.582640,2025-09-17 01:58:42.445803,0 days 00:00:23.863163,tanh,3,0.02632806086114918,0.20288757102390295,0.7995672217017333,small,0.9736719391388509,8,COMPLETE
4,4,9.6,2025-09-17 01:58:42.446849,2025-09-17 01:59:03.907899,0 days 00:00:21.461050,relu,3,0.00010467568449332583,0.17710590312271943,2.507047225468283,tiny,0.9998953243155067,8,COMPLETE
5,5,431.3,2025-09-17 01:59:03.911574,2025-09-17 01:59:20.349775,0 days 00:00:16.438201,tanh,9,0.05370195893597906,0.002602359011463193,4.859189246321378,tiny,0.9462980410640209,512,COMPLETE
6,6,500.0,2025-09-17 01:59:20.350553,2025-09-17 01:59:37.436999,0 days 00:00:17.086446,tanh,8,0.005930143740284389,0.00393524443316629,1.776441907433056,small,0.9940698562597156,256,COMPLETE
7,7,100.1,2025-09-17 01:59:37.437888,2025-09-17 01:59:46.107584,0 days 00:00:08.669696,tanh,6,0.005359273966740872,0.004071193871228748,3.212765377084835,small,0.9946407260332591,64,PRUNED
8,8,87.9,2025-09-17 01:59:46.108374,2025-09-17 01:59:53.303132,0 days 00:00:07.194758,tanh,10,0.09900634979882911,0.0001415067584125075,1.482459030022295,tiny,0.9009936502011708,1024,PRUNED
9,9,9.5,2025-09-17 01:59:53.306532,2025-09-17 02:00:01.396535,0 days 00:00:08.090003,tanh,7,0.015364134084771996,0.02896115136380708,0.38224907375428824,small,0.984635865915228,128,PRUNED
10,10,119.6,2025-09-17 02:00:01.397290,2025-09-17 02:00:09.998010,0 days 00:00:08.600720,relu,5,0.0010704291621841512,0.000392034495937711,1.003783110827882,tiny,0.9989295708378159,32,PRUNED
11,11,179.9,2025-09-17 02:00:09.998841,2025-09-17 02:00:17.744766,0 days 00:00:07.745925,tanh,8,0.007909372971778019,0.005552345514531368,1.8057349411661598,small,0.9920906270282219,256,PRUNED
12,12,15.3,2025-09-17 02:00:17.745919,2025-09-17 02:00:25.714768,0 days 00:00:07.968849,tanh,8,0.0021542500978315284,0.02092043618036699,2.2528680993051244,small,0.9978457499021685,256,PRUNED
13,13,459.2,2025-09-17 02:00:25.715603,2025-09-17 02:00:43.156972,0 days 00:00:17.441369,tanh,7,0.020695518306065402,0.0009030587467914816,3.5963673412356405,small,0.9793044816939346,128,COMPLETE
14,14,107.6,2025-09-17 02:00:43.160898,2025-09-17 02:00:51.048509,0 days 00:00:07.887611,tanh,9,0.0027898678907198795,2.0395648373618393e-05,1.4187465634520675,small,0.9972101321092801,512,PRUNED
15,15,9.4,2025-09-17 02:00:51.049375,2025-09-17 02:00:59.624804,0 days 00:00:08.575429,tanh,6,0.009232381842050767,0.02724413643011271,2.342721355820789,small,0.9907676181579492,64,PRUNED
16,16,9.5,2025-09-17 02:00:59.625680,2025-09-17 02:01:07.212092,0 days 00:00:07.586412,tanh,8,0.05992884104144296,0.9792904607883136,0.6123860711018753,small,0.9400711589585571,256,PRUNED
17,17,68.3,2025-09-17 02:01:07.215724,2025-09-17 02:01:15.154020,0 days 00:00:07.938296,tanh,10,0.0003323683066681081,5.854339223571997e-05,1.1590517009370223,small,0.9996676316933318,1024,PRUNED
18,18,213.2,2025-09-17 02:01:15.154840,2025-09-17 02:01:32.394941,0 days 00:00:17.240101,relu,5,0.04012868699467345,0.0013171677365944807,1.7688805552641749,tiny,0.9598713130053266,32,COMPLETE
19,19,9.4,2025-09-17 02:01:32.398849,2025-09-17 02:01:40.193397,0 days 00:00:07.794548,tanh,9,0.005332394301168551,0.011478633155622317,3.182437182940517,small,0.9946676056988315,512,PRUNED
20,20,388.0,2025-09-17 02:01:40.194216,2025-09-17 02:01:49.018230,0 days 00:00:08.824014,tanh,7,0.01319750863243215,0.0006857355321421726,1.7723786937533996,small,0.9868024913675678,128,PRUNED
21,21,443.2,2025-09-17 02:01:49.019033,2025-09-17 02:01:57.518314,0 days 00:00:08.499281,tanh,7,0.020461671744068714,0.0011677487736597941,4.308314784690155,small,0.9795383282559312,128,PRUNED
22,22,500.0,2025-09-17 02:01:57.522145,2025-09-17 02:02:15.307644,0 days 00:00:17.785499,tanh,6,0.030266596863116262,0.0020522917926046056,3.0463091031664153,small,0.9697334031368837,64,COMPLETE
23,23,52.0,2025-09-17 02:02:15.308453,2025-09-17 02:02:23.817584,0 days 00:00:08.509131,tanh,6,0.035443608312875394,0.00798321262889547,2.6613396518084653,small,0.9645563916871246,64,PRUNED
24,24,87.4,2025-09-17 02:02:23.818384,2025-09-17 02:02:43.535681,0 days 00:00:19.717297,tanh,4,0.004291329954163011,0.002218599469413412,2.024306783223951,small,0.995708670045837,16,COMPLETE
25,25,138.8,2025-09-17 02:02:43.536662,2025-09-17 02:02:51.760417,0 days 00:00:08.223755,tanh,8,0.06340303626583713,5.3939547791619025e-05,1.3026667820541868,small,0.9365969637341629,256,PRUNED
26,26,9.7,2025-09-17 02:02:51.761282,2025-09-17 02:02:59.626608,0 days 00:00:07.865326,relu,6,0.009735069237732126,0.056835836274540634,2.8899266163110373,tiny,0.9902649307622678,64,PRUNED
27,27,176.4,2025-09-17 02:02:59.627926,2025-09-17 02:03:09.409686,0 days 00:00:09.781760,tanh,4,0.0011240282535676235,0.00019435167685756324,3.7674343794759957,small,0.9988759717464324,16,PRUNED
28,28,272.3,2025-09-17 02:03:09.410435,2025-09-17 02:03:17.959266,0 days 00:00:08.548831,tanh,7,0.09830273082679236,0.0020260674539435445,1.630973373352755,small,0.9016972691732077,128,PRUNED
29,29,117.9,2025-09-17 02:03:17.960045,2025-09-17 02:03:26.177557,0 days 00:00:08.217512,relu,8,0.00021859252610429523,0.0004993590809491546,1.16961273134629,small,0.9997814074738957,256,PRUNED
30,30,89.2,2025-09-17 02:03:26.178314,2025-09-17 02:03:33.600049,0 days 00:00:07.421735,tanh,9,0.032965479603218356,0.00010423398032824128,2.117397598442285,small,0.9670345203967816,512,PRUNED
31,31,453.2,2025-09-17 02:03:33.600847,2025-09-17 02:03:42.464651,0 days 00:00:08.863804,tanh,7,0.019407614075340498,0.0005610194745780531,3.6383735101216335,small,0.9805923859246595,128,PRUNED
32,32,478.6,2025-09-17 02:03:42.465442,2025-09-17 02:03:51.561064,0 days 00:00:09.095622,tanh,6,0.013769343434314942,0.0009760181844504107,4.082872577207182,small,0.9862306565656851,64,PRUNED
33,33,9.1,2025-09-17 02:03:51.561907,2025-09-17 02:03:59.229636,0 days 00:00:07.667729,tanh,7,0.022319745902005656,0.009441620486022168,3.051943166358011,small,0.9776802540979943,128,PRUNED
34,34,500.0,2025-09-17 02:03:59.230375,2025-09-17 02:04:18.355162,0 days 00:00:19.124787,relu,5,0.028898208208923117,0.003349450676720595,2.6348978651132975,small,0.9711017917910769,32,COMPLETE
35,35,263.4,2025-09-17 02:04:18.356014,2025-09-17 02:04:28.564284,0 days 00:00:10.208270,relu,4,0.04814226309408156,0.0038019375511006656,2.5248535228352136,small,0.9518577369059185,16,PRUNED
36,36,91.2,2025-09-17 02:04:28.565158,2025-09-17 02:04:36.433954,0 days 00:00:07.868796,relu,5,0.0015031051077288684,0.0003028934374175403,2.06547318221322,tiny,0.9984968948922711,32,PRUNED
37,37,9.4,2025-09-17 02:04:36.434882,2025-09-17 02:04:45.407475,0 days 00:00:08.972593,relu,5,0.02843909556835365,0.058388570305973005,0.6816683013845413,small,0.9715609044316463,32,PRUNED
38,38,175.2,2025-09-17 02:04:45.411154,2025-09-17 02:04:54.047990,0 days 00:00:08.636836,relu,6,0.007118581995945794,0.0022896633219995637,4.882165398644754,small,0.9928814180040542,64,PRUNED
39,39,29.7,2025-09-17 02:04:54.048690,2025-09-17 02:05:04.889742,0 days 00:00:10.841052,relu,3,0.07234689132041469,0.014708044114473946,0.9089466350096583,tiny,0.9276531086795853,8,PRUNED
40,40,8.9,2025-09-17 02:05:04.890527,2025-09-17 02:05:14.185759,0 days 00:00:09.295232,relu,4,0.011116206424069117,0.0045908662407606856,1.5149561814962964,small,0.9888837935759309,16,PRUNED
41,41,210.6,2025-09-17 02:05:14.189424,2025-09-17 02:05:23.372199,0 days 00:00:09.182775,tanh,5,0.01687272290463652,0.0015395676143147245,2.7136819592451595,small,0.9831272770953635,32,PRUNED
42,42,486.5,2025-09-17 02:05:23.372994,2025-09-17 02:05:41.163848,0 days 00:00:17.790854,tanh,7,0.028679981193591757,0.0007752641460312752,3.4879224467003422,small,0.9713200188064083,128,COMPLETE
43,43,132.9,2025-09-17 02:05:41.164701,2025-09-17 02:05:48.748437,0 days 00:00:07.583736,tanh,8,0.029093385362395974,0.003431283161236849,3.3690709889851944,small,0.970906614637604,256,PRUNED
44,44,493.4,2025-09-17 02:05:48.749230,2025-09-17 02:06:06.927718,0 days 00:00:18.178488,tanh,6,0.04500565888775711,0.006038606128881412,2.333671903182255,small,0.9549943411122429,64,COMPLETE
45,45,9.4,2025-09-17 02:06:06.928516,2025-09-17 02:06:14.836983,0 days 00:00:07.908467,tanh,6,0.04354890113950096,0.006307805087218173,2.003775786085205,small,0.9564510988604991,64,PRUNED
46,46,9.4,2025-09-17 02:06:14.837751,2025-09-17 02:06:23.290259,0 days 00:00:08.452508,relu,6,0.0835243135631893,0.015911779592982556,2.4196940494678296,small,0.9164756864368107,64,PRUNED
47,47,135.8,2025-09-17 02:06:23.291028,2025-09-17 02:06:31.840887,0 days 00:00:08.549859,tanh,5,0.05363048363995285,0.0034043277755127334,1.858153291644301,tiny,0.9463695163600472,32,PRUNED
48,48,214.2,2025-09-17 02:06:31.841722,2025-09-17 02:06:40.490106,0 days 00:00:08.648384,tanh,6,0.003503634161878625,0.04461026754370865,0.37213665628721593,small,0.9964963658381214,64,PRUNED
49,49,32.6,2025-09-17 02:06:40.491266,2025-09-17 02:06:48.402720,0 days 00:00:07.911454,tanh,8,0.0005603682441762576,0.007212880223959305,2.26295040935958,small,0.9994396317558237,256,PRUNED
50,50,9.9,2025-09-17 02:06:48.403549,2025-09-17 02:06:56.312014,0 days 00:00:07.908465,tanh,9,0.04167865547458553,0.12768544741871593,1.5772516146610482,small,0.9583213445254145,512,PRUNED
51,51,469.1,2025-09-17 02:06:56.312827,2025-09-17 02:07:04.490999,0 days 00:00:08.178172,tanh,7,0.025778130653601232,0.0009094052253135861,2.9249659703311286,small,0.9742218693463988,128,PRUNED
52,52,198.7,2025-09-17 02:07:04.491793,2025-09-17 02:07:12.910913,0 days 00:00:08.419120,tanh,7,0.06735211034564835,0.001663420445456319,4.2580923135257365,small,0.9326478896543516,128,PRUNED
53,53,42.2,2025-09-17 02:07:12.911681,2025-09-17 02:07:21.112652,0 days 00:00:08.200971,tanh,7,0.007061109345044233,0.0055106805643606125,3.261125461615249,small,0.9929388906549558,128,PRUNED
54,54,100.3,2025-09-17 02:07:21.113404,2025-09-17 02:07:29.175169,0 days 00:00:08.061765,tanh,6,0.03160263323382102,0.00027750735167142356,2.5916704262517842,small,0.9683973667661789,64,PRUNED
55,55,500.0,2025-09-17 02:07:29.175955,2025-09-17 02:07:46.643200,0 days 00:00:17.467245,tanh,8,0.014768508254240103,0.0029499965198322015,0.478975513516308,small,0.9852314917457599,256,COMPLETE
56,56,498.3,2025-09-17 02:07:46.644028,2025-09-17 02:07:54.955407,0 days 00:00:08.311379,tanh,8,0.015967752734630705,0.0028119922243891454,1.34494198379465,small,0.9840322472653693,256,PRUNED
57,57,143.4,2025-09-17 02:07:54.958834,2025-09-17 02:08:10.840707,0 days 00:00:15.881873,tanh,8,0.005412549772919307,0.011131503633695366,0.3180255605828915,tiny,0.9945874502270807,256,COMPLETE
58,58,9.5,2025-09-17 02:08:10.841504,2025-09-17 02:08:18.143385,0 days 00:00:07.301881,relu,9,0.011605462727484049,0.02993020198558988,0.4489212372727168,small,0.9883945372725159,512,PRUNED
59,59,484.3,2025-09-17 02:08:18.144168,2025-09-17 02:08:27.766904,0 days 00:00:09.622736,tanh,5,0.008768792777788645,0.0013403978461518449,1.077339537798464,small,0.9912312072222114,32,PRUNED
60,60,173.2,2025-09-17 02:08:27.767676,2025-09-17 02:08:44.484971,0 days 00:00:16.717295,tanh,8,0.02274668183934362,0.002576144853657594,0.5274349556779617,small,0.9772533181606564,256,COMPLETE
61,61,484.2,2025-09-17 02:08:44.489254,2025-09-17 02:08:52.987081,0 days 00:00:08.497827,tanh,7,0.040519483427606244,0.0008376125788785341,2.2627275734668615,small,0.9594805165723937,128,PRUNED
62,62,433.6,2025-09-17 02:08:52.988118,2025-09-17 02:09:01.824007,0 days 00:00:08.835889,tanh,7,0.051432346878198074,0.00047231337730939665,2.707852511442734,small,0.9485676531218019,128,PRUNED
63,63,500.0,2025-09-17 02:09:01.824791,2025-09-17 02:09:18.570023,0 days 00:00:16.745232,tanh,10,0.01741247428142937,0.005349610841510798,1.700804270431934,small,0.9825875257185707,1024,COMPLETE
64,64,465.3,2025-09-17 02:09:18.570803,2025-09-17 02:09:27.113240,0 days 00:00:08.542437,tanh,10,0.01757740699257944,0.004950675831264963,1.7250132765528905,small,0.9824225930074205,1024,PRUNED
65,65,9.7,2025-09-17 02:09:27.114006,2025-09-17 02:09:35.094034,0 days 00:00:07.980028,tanh,10,0.03524517440175123,0.018314638224220987,1.9079745207782441,small,0.9647548255982488,1024,PRUNED
66,66,,2025-09-17 02:09:35.094814,2025-09-17 02:09:35.461279,0 days 00:00:00.366465,tanh,6,0.0025255326918684575,0.008255772401071346,1.4239057194078346,small,0.9974744673081315,64,FAIL
